product_name,product_link,image_url,category
Iced Matcha Latte,https://www.mcdonalds.co.id/menu/iced-matcha-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/CqZ6XFK8I7niiIXKue7r.webp,Sarapan Pagi
Iced Café Matcha Fushion,https://www.mcdonalds.co.id/menu/iced-cafe-matcha-fushion,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/EDxYwvE958RX4d5POgUF.webp,Sarapan Pagi
Matcha Frappe,https://www.mcdonalds.co.id/menu/matcha-frappe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/SpdivZSY4Uv1Hz4vbnUZ.webp,Sarapan Pagi
Tasseo Lemon Grass,https://www.mcdonalds.co.id/menu/tasseo-lemon-grass,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/GqJ1V0SdmlsGDv7Cz16N.webp,Sarapan Pagi
Tasseo Java Jasmine,https://www.mcdonalds.co.id/menu/tasseo-java-jasmine,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/m5qrEbGgiHqglLhTBIAb.webp,Sarapan Pagi
Tasseo Pure Green,https://www.mcdonalds.co.id/menu/tasseo-pure-green,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/eB5u5zvq8yEzj3HKPK48.webp,Sarapan Pagi
Espresso,https://www.mcdonalds.co.id/menu/espresso,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/QEpdcqn5QRnjlhgmeBfc.webp,Sarapan Pagi
Macchiato,https://www.mcdonalds.co.id/menu/macchiato,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/zCnERTW78bf4cYib8PW1.webp,Sarapan Pagi
Long Black Coffee,https://www.mcdonalds.co.id/menu/long-black-coffee,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/YBdL4pcPJbOTZG59cnIq.webp,Sarapan Pagi
Flat White,https://www.mcdonalds.co.id/menu/flat-white,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/Bol3naRgtOd3NPiJFVSc.webp,Sarapan Pagi
Caffe Latte,https://www.mcdonalds.co.id/menu/caffe-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/BI01NSyDPIpNf2Gl3CMs.webp,Sarapan Pagi
Cappuccino,https://www.mcdonalds.co.id/menu/cappuccino,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/jY3TEYDj97AvV4eTRFeL.webp,Sarapan Pagi
Hot Chocolate,https://www.mcdonalds.co.id/menu/hot-chocolate,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/NMRZuGRg9F3Yx27RsmqN.webp,Sarapan Pagi
Hazelnut Latte,https://www.mcdonalds.co.id/menu/hazelnut-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/uW6pzEUzeS1YvpuJoKbU.webp,Sarapan Pagi
Mocha Latte,https://www.mcdonalds.co.id/menu/mocha-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/GDTosKy8MiwvPQ6xZZT9.webp,Sarapan Pagi
Vienna,https://www.mcdonalds.co.id/menu/vienna,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/51WBR0BOYCUFsBNzyqB2.webp,Sarapan Pagi
Caramel Latte,https://www.mcdonalds.co.id/menu/caramel-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/HGWVamZKsjS7qWt0MYWs.webp,Sarapan Pagi
